persian_word,persian_word_eraab,english_word
به,به,to
به,بَه,bravo
به,بِه,quince
تو,تو,inside
تو,تُو,you
بر,بَر,on
بر,بَر,upon
بر,بَر,against
بر,بُر,riffle
بر,بُر,shuffle
بر,بُر,stir
نه,نَه,no
نه,نَه,not
نه,نُه,nine
سر,سَر,head
سر,سَر,end
سر,سَر,at
سر,سَر,on
سر,سَر,tip
سر,سَر,top
سر,سَر,begin
سر,سَر,plug
سر,سَر,edge
سر,سَر,nob
سر,سُر,glide
سر,سُر,slide
سر,سُر,sliding
سر,سُر,gliding
سر,سِرّ,mystery
سر,سِرّ,secret
سر,سِر,sir
صور,صور,horn
صور,صور,trumpet
صور,صور,clarion
صور,صور,bugle
صور,صُوَر,face
صور,صُوَر,shape
کن,کَن,dig
کن,کَن,peel
کن,کَن,pull
کن,کَن,cut|out
کن,کُن,does
ابا,اَبا,father
ابا,اَبا,abba
ابا,اِبا,refuse
ابا,اِبا,refusal
ابا,اِبا,baulk
ابا,اِبا,balk
تن,تَن,body
تن,تَن,person
تن,تَن,flesh
تن,تَن,corpus
تن,تُن,ton
تن,تُن,tuna
گه,گُه,shit
گه,گُه,turd
رفت,رُفت,sweep
رفت,رُفت,swept
رفت,رَفت,went
رفت,رَفت,go
رفت,رَفت,leave
رفت,رَفت,left
جرم,جُرم,crime
جرم,جُرم,guilt
جرم,جُرم,delict
جرم,جُرم,misdeed
جرم,جِرم,mass
جرم,جِرم,body
دم,دَم,moment
دم,دَم,breath
دم,دَم,instant
دم,دَم,minute
دم,دُم,tail
پرس,پُرْس,ask
پرس,پُرْس,question
پرس,پِرِس,press
پرس,پِرِس,pressure
کنه,کُنْه,truth
کنه,کُنْه,fact
کنه,کُنْه,reality
کنه,کُنه,does
ید,یَد,hand
ید,یُد,iod
ید,یُد,iodin
پر,پَر,feather
پر,پَر,fin
پر,پُر,full
پر,پُر,loaded
پر,پُر,laden
پر,پُر,fraught
پر,پُر,rife
پر,پُر,flown
